ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS
21	ProtoBai	(birds)cry/chirp	mæ1b	mæ1b	m æ 1b/¹	1
22	Tuoluo	(birds)cry/chirp	ma35	ma35	m a ³⁵	1
23	Gongxing	(birds)cry/chirp	mæ12	mæ12	m æ ¹²	1
24	Enqi	(birds)cry/chirp	mæ21	mæ21	m æ ²¹	1
25	Jinxing	(birds)cry/chirp	man21	man21	m a n ²¹	1
26	Dashi	(birds)cry/chirp	mɚ21	mɚ21	m ɚ/ə ²¹	1
27	Mazhelong	(birds)cry/chirp	mɚ̃21	mɚ̃21	m ɚ/ə̃ ²¹	1
28	ProtoBai	(fruit) be ripe	dzro4	dzro4	ɖʐ o ⁴	9
29	Tuoluo	(fruit) be ripe	ʐy42	ʐy42	ʐ y ⁴²	9
30	Gongxing	(fruit) be ripe	dzao21	dzao21	dz ao ²¹	9
31	Enqi	(fruit) be ripe	tɕio21	tɕio21	tɕ i/j o ²¹	9
32	Ega	(fruit) be ripe	tɕiu21	tɕiu21	tɕ i u ²¹	9
33	Jinman	(fruit) be ripe	tɕio21	tɕio21	tɕ i/j o ²¹	9
34	Jinxing	(fruit) be ripe	(tsṽ42tʰǝ31)	tsṽ42tʰǝ31	ts ṽ/ʯ̃ ⁴² + tʰ ə ³¹	9 11
35	Dashi	(fruit) be ripe	(tʰiɯ42xa55)	tʰiɯ42xa55	tʰ i/j ɯ ⁴² + x a ⁵⁵	9 10
36	Mazhelong	(fruit) be ripe	tsʰu42	tsʰu42	tsʰ u ⁴²	9
37	ProtoBai	(head) ache	suŋ3	suŋ3	s u ŋ ³	21
38	Tuoluo	(head) ache	svŋ21	svŋ21	s v/ʯ ŋ ²¹	21
39	Gongxing	(head) ache	saŋ42	saŋ42	s a ŋ ⁴²	21
40	Enqi	(head) ache	(tsa55)	tsa55	ts a ⁵⁵	21
41	Ega	(head) ache	(tso55)	tso55	ts o ⁵⁵	21
42	Jinman	(head) ache	(tsa55)	tsa55	ts a ⁵⁵	21
43	Jinxing	(head) ache	svŋ31	svŋ31	s v/ʯ ŋ ³¹	21
44	Dashi	(head) ache	soŋ31	soŋ31	s o ŋ ³¹	21
