ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS
1	Romanian	concept_1	-abil	-abil	a b i l		1
2	French	concept_1	-abl	-abl	a b l		1
3	Italian	concept_1	-abile	-abile	a b i l e		1
4	Spanish	concept_1	-aβle	-aβle	a β l e		1
5	Portuguese	concept_1	-avɛl	-avɛl	a v ɛ l		1
6	Latin	concept_1	-aːbɪlɛm	-aːbɪlɛm	aː b ɪ l ɛ m		1
45	French	concept_10	-sid	-sid	s i d		10
46	Spanish	concept_10	-θiða	-θiða	θ i ð a		10
47	Latin	concept_10	-kiːdam	-kiːdam	k iː d a m		10
395	French	concept_100	oʁɔn	oʁɔn	o ʁ ɔ n		100
396	Italian	concept_100	abrotano	abrotano	a b r o t a n o		100
397	Spanish	concept_100	aβɾotano	aβɾotano	a β ɾ o t a n o		100
398	Portuguese	concept_100	ɐbɹɔtɐnʊ	ɐbɹɔtɐnʊ	ɐ b ɹ ɔ t ɐ n ʊ		100
399	Latin	concept_100	abrɔtɔnʊm	abrɔtɔnʊm	a b r ɔ t ɔ n ʊ m		100
3847	Romanian	concept_1000	tʃelebru	tʃelebru	tʃ e l e b r u		1000
3848	French	concept_1000	selɛbʁ	selɛbʁ	s e l ɛ b ʁ		1000
3849	Italian	concept_1000	tʃɛlebre	tʃɛlebre	tʃ ɛ l e b r e		1000
3850	Spanish	concept_1000	θeleβɾe	θeleβɾe	θ e l e β ɾ e		1000
3851	Portuguese	concept_1000	sɛlɨbɹɨ	sɛlɨbɹɨ	s ɛ l ɨ b ɹ ɨ		1000
3852	Latin	concept_1000	kɛlɛbrɛm	kɛlɛbrɛm	k ɛ l ɛ b r ɛ m		1000
3853	French	concept_1001	selebʁasjɔ̃	selebʁasjɔ̃	s e l e b ʁ a s j ɔ̃		1001
3854	Italian	concept_1001	tʃelebratsione	tʃelebratsione	tʃ e l e b r a ts i/j o n e		1001
3855	Spanish	concept_1001	θeleβɾaθjon	θeleβɾaθjon	θ e l e β ɾ a θ j o n		1001
3856	Latin	concept_1001	kɛlɛbraːtɪoːnɛm	kɛlɛbraːtɪoːnɛm	k ɛ l ɛ b r aː t ɪ/j oː n ɛ m		1001
3857	French	concept_1002	selebʁe	selebʁe	s e l e b ʁ e		1002
3858	Italian	concept_1002	tʃelebrare	tʃelebrare	tʃ e l e b r a r e		1002
3859	Spanish	concept_1002	θeleβɾaɾ	θeleβɾaɾ	θ e l e β ɾ a ɾ		1002
3860	Latin	concept_1002	kɛlɛbraːrɛ	kɛlɛbraːrɛ	k ɛ l ɛ b r aː r ɛ		1002
3861	French	concept_1003	səle	səle	s ə l e		1003
3862	Italian	concept_1003	tʃɛlere	tʃɛlere	tʃ ɛ l e r e		1003
3863	Spanish	concept_1003	θeleɾe	θeleɾe	θ e l e ɾ e		1003
3864	Portuguese	concept_1003	sɛlɨɾɨ	sɛlɨɾɨ	s ɛ l ɨ ɾ ɨ		1003
3865	Latin	concept_1003	kɛlɛrɛm	kɛlɛrɛm	k ɛ l ɛ r ɛ m		1003
3866	French	concept_1004	seleʁipɛd	seleʁipɛd	s e l e ʁ i p ɛ d		1004
3867	Latin	concept_1004	kɛlɛrɪpɛdɛm	kɛlɛrɪpɛdɛm	k ɛ l ɛ r ɪ p ɛ d ɛ m		1004
3868	Italian	concept_1005	tʃɛlla	tʃɛlla	tʃ ɛ lː a		1005
3869	Spanish	concept_1005	θela	θela	θ e l a		1005
3870	Portuguese	concept_1005	sɛlɐ	sɛlɐ	s ɛ l ɐ		1005
3871	Latin	concept_1005	kɛllam	kɛllam	k ɛ lː a m		1005
3872	French	concept_1006	səle	səle	s ə l e		1006
3873	Italian	concept_1006	tʃelare	tʃelare	tʃ e l a r e		1006
3874	Spanish	concept_1006	θelaɾ	θelaɾ	θ e l a ɾ		1006
3875	Latin	concept_1006	keːlaːrɛ	keːlaːrɛ	k eː l aː r ɛ		1006
3876	Italian	concept_1007	tʃelsitudine	tʃelsitudine	tʃ e l s i t u d i n e		1007
