ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS
354	ClassicalNahuatl	I 	neʔwaː-tl	neʔwaː-tl	n e ʔ w aː + tɬ		138
355	TetelcingoNahuatl	I 	naha	naha	n a h a		138
356	NorthPueblaNahuatl	I 	nehwa-tl	nehwa-tl	n e h w a + tɬ		138
357	MecayapanNahuat	I 	neh	neh	n e h		138
358	PajapanNahuat	I 	neha	neha	n e h a		138
359	JalupaNahuat	I 	nehe	nehe	n e h e		138
360	Pipil	I 	na ~ nah ~ naha	na	n a		138
361	Pochutec	I 	nen	nen	n e n		138
362	ProtoAztecan	I 	*naha	*naha	n a h a		138
1	ClassicalNahuatl	all (todos) 	mochi-n	mochi-n	m o tʃ i + n		1
2	TetelcingoNahuatl	all (todos) 	nochiː	nochiː	n o tʃ iː		1
3	NorthPueblaNahuatl	all (todos) 	nochi-n	nochi-n	n o tʃ i + n		1
4	MecayapanNahuat	all (todos) 	(i)nochi	nochi	n o tʃ i		1
5	PajapanNahuat	all (todos) 	nochi	nochi	n o tʃ i		1
6	JalupaNahuat	all (todos) 	muchi	muchi	m u tʃ i		1
7	Pipil	all (todos) 	muchi	muchi	m u tʃ i		1
8	Pochutec	all (todos) 	nochó	nochó	n o tʃ ó/o		1
9	ProtoAztecan	all (todos) 	*mochɨ-m	*mochɨ-m	m o tʃ ɨ + m		1
10	ClassicalNahuatl	ashes 	nex-tli	nex-tli	n e x + tɬ i		2
11	TetelcingoNahuatl	ashes 	tlako-nex-tliː	tlako-nex-tliː	tɬ a k o + n e x + tɬ iː		2
12	NorthPueblaNahuatl	ashes 	tleko-nex-tli	tleko-nex-tli	tɬ e k o + n e x + tɬ i		2
13	MecayapanNahuat	ashes 	kwa-neːx	kwa-neːx	k w a + n eː x		2
14	PajapanNahuat	ashes 	ba-neːx	ba-neːx	b a + n eː x		2
15	JalupaNahuat	ashes 	kó-nex-ti	kó-nex-ti	k ó/o + n e x + t i		2
16	Pipil	ashes 	nex-ti	nex-ti	n e x + t i		2
17	Pochutec	ashes 	nox-t	nox-t	n o x + t		2
18	ProtoAztecan	ashes 	*nɨx-tlɨ	*nɨx-tlɨ	n ɨ x + tɬ ɨ		2
19	ClassicalNahuatl	bark 	eːwa-tl	eːwa-tl	eː w a + tɬ		3
20	TetelcingoNahuatl	bark 	yewa-yu-tl	yewa-yu-tl	j e w a + j u + tɬ		3
21	NorthPueblaNahuatl	bark 	-yewa-yo	-yewa-yo	j e w a + j o		3
22	MecayapanNahuat	bark 	kwa-kahloː-ʔ	kwa-kahloː-ʔ	k w a + k a h l oː + ʔ		4
23	PajapanNahuat	bark 	-ba-gahlo	-ba-gahlo	b a + g a h l o		4
24	JalupaNahuat	bark 	-sul-koi	-sul-koi	s u l + k o i		5
25	Pipil	bark 	-eːwa-yu	-eːwa-yu	eː w a + j u		3
26	ProtoAztecan	bark 	*ɨwaː-yoː-tl	*ɨwaː-yoː-tl	ɨ w aː + j oː + tɬ		3
27	ClassicalNahuatl	belly 	-iʔte	-iʔte	i ʔ t e		6
28	TetelcingoNahuatl	belly 	-ihte	-ihte	i h t e		6
29	NorthPueblaNahuatl	belly 	-ihte, -pox	-ihte	i h t e		6
30	MecayapanNahuat	belly 	-talax (exterior)	-talax_	t a l a x		7
31	PajapanNahuat	belly 	-ihti	-ihti	i h t i		6
32	JalupaNahuat	belly 	-ihti	-ihti	i h t i		6
33	Pipil	belly 	-ihti	-ihti	i h t i		6
34	ProtoAztecan	belly 	*-ɨhtɨ	*-ɨhtɨ	ɨ h t ɨ		6
35	ClassicalNahuatl	big 	weː(i)	weː	w eː		8
36	TetelcingoNahuatl	big 	bieyiː	bieyiː	b i e j iː		8
37	NorthPueblaNahuatl	big 	weyi	weyi	w e j i		8
38	MecayapanNahuat	big 	weyi	weyi	w e j i		8
39	PajapanNahuat	big 	weːy	weːy	w eː j		8
40	JalupaNahuat	big 	wey	wey	w e j		8
41	Pipil	big 	weːy	weːy	w eː j		8
42	Pochutec	big 	huhióm	huhióm	h u h i ó/o m		8
43	ProtoAztecan	big 	*wehey(ɨ)	*wehey	w e h e j		8
44	ClassicalNahuatl	bird 	toːtoː-tl	toːtoː-tl	t oː t oː + tɬ		9
45	TetelcingoNahuatl	bird 	tutu-tl	tutu-tl	t u t u + tɬ		9
46	NorthPueblaNahuatl	bird 	toto-tl	toto-tl	t o t o + tɬ		9
47	MecayapanNahuat	bird 	toːtoː-ʔ	toːtoː-ʔ	t oː t oː + ʔ		9
48	PajapanNahuat	bird 	toːto-t	toːto-t	t oː t o + t		9
49	JalupaNahuat	bird 	tuːru-t	tuːru-t	t uː r u + t		9
50	Pipil	bird 	tuːtu-t (Santo Domingo de Guzmán), wiːlu-t (Cuisnahuat)	tuːtu-t_	t uː t u + t		9
51	ProtoAztecan	bird 	*toːtoː-tl	*toːtoː-tl	t oː t oː + tɬ		9
52	ClassicalNahuatl	bite 	-keʔtzom(a)	-keʔtzom	k e ʔ ts o m		10
53	TetelcingoNahuatl	bite 	-ketzoma	-ketzoma	k e ts o m a		10
54	NorthPueblaNahuatl	bite 	-tlan-kechiya	-tlan-kechiya	tɬ a n + k e tʃ i j a		11
55	MecayapanNahuat	bite 	-tan-kwa	-tan-kwa	t a n + k w a		12
56	PajapanNahuat	bite 	-tam-ba	-tam-ba	t a m + b a		12
57	Pipil	bite 	-tan-kwa	-tan-kwa	t a n + k w a		12
58	ProtoAztecan	bite 	*-kɨh-tzoma	*-kɨh-tzoma	k ɨ h + ts o m a		12
59	ClassicalNahuatl	black 	tliːl-tik	tliːl-tik	tɬ iː l + t i k		13
60	TetelcingoNahuatl	black 	tlil-tiːk, kapotz-tiːk	tlil-tiːk	tɬ i l + t iː k		13
61	NorthPueblaNahuatl	black 	tlil-tik	tlil-tik	tɬ i l + t i k		13
62	MecayapanNahuat	black 	piːs-tiʔ, chaːpo-tiʔ	piːs-tiʔ	p iː s + t i ʔ		14
